track,Album,Artist,release_date,All Time Rank,January,February,March,April,May,June,July,August,September,October,spotify_streams,youtube_streams,YouTube Likes,TikTok Posts,TikTok Likes,tiktok_streams,YouTube Playlist Reach,Apple Music Playlist Count,apple_music_streams,SiriusXM_streams,Deezer Playlist Count,deezer_streams,Amazon Playlist Count,pandora_streams,Pandora Track Stations,soundcloud_streams,Shazam Counts
Girlfriend,The Second Wave (Deluxe),Ruger,6/17/2022,2691,,,,,,,,,,,56670689,126849797,654337,1373186,19812568,344920965,34681748,31,6751,1,2,131930,8,529966,444,,2142023
Girls,Girls - The 2nd Mini Album,aespa,7/8/2022,3923,,,,,,,,,,,115406939,267348363,3146913,63600,49841018,401260794,127523080,13,1048,10,6,24059,17,399110,156,,249490
Girls Just Wanna Have Some,Girls Just Wanna Have Some,dreamsoda,5/30/2024,3440,,,,,,,,,,,51035638,,,,,,,,,,,,,,,,
girls like me don't cry,Girls Like Me Don't Cry,th��,10/6/2022,260,,,,,,,,,,,69931412,63786141,759332,9009769,496871104,6778569349,147879,4,4180,29,,,15,71269,228,,195627
Girls Like You,Red Pill Blues (Deluxe),Maroon 5,11/3/2017,464,,,,,,,,,,,399689964,3623407739,21725999,597,589841,6559308,2200700275,8,37551,,6,167434,6,95808186,28398,1318952,5910625
Girls Like You (feat. Cardi B),Red Pill Blues (Deluxe),Maroon 5,11/3/2017,694,,,,,,,,,,,1650167380,1225467157,7096961,2904900,36399820,405895763,10016549,153,20494,152,284,346258,62,317479596,359490,,10878345
Girls Need Love (with Drake) - Remix,Last Day Of Summer,Summer Walker,10/19/2018,3375,,,,,,,,,,,625999943,,,356553,51219101,415561032,,50,508,18,16,107447,7,123803373,45985,28120837,3138768
Girls Never Die,<ASSEMBLE24>,tripleS,5/8/2024,2352,,,,,,,,,,,8797665,19762635,804351,,,,,13,106,,4,7100,8,,,40359,30149
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,9/3/2021,1168,,,,,,,,,,,459480135,94845922,710635,97707,54238635,550340528,27126576,77,1996,608,24,203415,46,63766205,182395,,1506723
Gitana (feat. Bryartz),Los Gangsters Tambien Lloran,Pablo Chill-E,3/29/2024,3151,,,,,,,,,,,47329404,15452676,90162,,,,20403072,2,185,,5,1717735,2,2149,3,,125245
Give It To Me - Full Vocal Mix,Give It to Me (Full Vocal Mix) - Single,Matt Sassari,10/22/2021,3153,,,,,,,,,,,476476352,780251,8207,2600,872891,12295262,,16,8048,,26,482266,,10227,,,271088
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Greatest Hits,Pitbull,1/1/2009,1898,,,,,,,,,,,1164166623,1332702041,6176607,142435,20425129,225165270,1458438173,120,348,29,82,517742,19,595162539,451894,,16112049
GIVENCHY,Temporada de Reggaet��,Duki,7/20/2022,2436,,,,,,,,,,,240519561,203263077,2270776,46349,38804922,313936580,5144948,13,1020,100,8,183474,15,36312,105,,177813
Giving Me,Giving Me,Jazzy,3/10/2023,1284,,,,,,,,,,,150463218,57191900,289311,98700,19724036,275361521,109250442,55,55943,250,27,1088411,17,31188,365,8850596,1009861
Glimpse of Us,Glimpse of Us,Joji,6/10/2022,242,,,,,,,,,,,1262308912,66246839,2067331,865354,1031153514,8988453878,4898615770,97,116337,620,40,2380981,45,9562991,17436,12895440,4350230
Glock In My Lap,SAVAGE MODE II,21 Savage,10/2/2020,1088,,,,,,,,,,,614603953,164711656,1799801,45186,22453063,162296330,40458162,25,940,,18,196078,3,18427460,10054,34124605,2194666
Glorious (feat. Skylar Grey),Glorious (feat. Skylar Grey),Macklemore,6/15/2017,2878,,,,,,,,,,,899431434,345265852,3361539,277847,116647161,813589191,142496161,58,1116,26,18,41140,13,86963909,92609,26708285,3585978
Glue Song,Glue Song - Single,beabadoobee,2/15/2023,3379,,,,,,,,,,,209167955,35239823,777957,149730,51782327,275970237,4638734,31,6565,877,5,20043,35,294510,1313,,186915
GMFU (w/ 6arelyhuman),GMFU (w/ 6arelyhuman),Odetari,7/26/2023,1503,,,,,,,,,,,199444237,26054503,411659,137100,26294743,178981870,,1,,,2,11655,8,1000492,67,6258684,716415
GO (feat. Juice WRLD),GO (feat. Juice WRLD),The Kid LAROI,6/12/2020,4146,,,,,,,,,,,488253341,100109974,1553178,30990,14133727,89767528,9762188,44,1100,,23,129806,5,16247484,11503,,
Go Back (feat. Julia Church),Go Back (feat. Julia Church),John Summit,5/16/2024,1913,,,,,,,,,,,12724701,,,,,,,15,1880,7,14,1284887,39,180837,132,279597,71800
Go Crazy,Slime & B,Young Thug,5/5/2020,721,,,,,,,,,,,699336080,363333168,3159553,19574,3018147,42692526,217788137,177,578728,13,32,935466,22,242208093,80706,2515804,5747453
